Title,URL,release_year,rating,votes,type,des,pos,crews,stars
21. Jinnah,/title/tt0183306/?ref_=sr_i_21,1998,7.8,(3.1K),,The story of the Indian politician Muhammad Ali Jinnah who successfully campaigned for an independent Pakistan and became its first Governor-General.,"https://m.media-amazon.com/images/M/MV5BYjkxMzczNjctMzQzMy00Y2IzLThjMjgtYWU4OTM2MTRlZDIzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,1,140,207_.jpg","['Drama', 'Family', 'Mystery', 'Back to top']","['Fawad Khan', 'Sanam Saeed', 'Salman Shahid', 'Syed Arham', 'Fawad Khan', 'Anika Zulfikar', 'Khushhal Khan', 'Faiza Gillani', 'Sajid Hasan', 'Eman Suleman', 'Nighat Chaudhry', 'Uzma Beg', 'Meesum Naqvi', 'Muhammad Shah', 'Franco Giusti', 'Imam Syed']"
22. Barzakh,/title/tt26787342/?ref_=sr_i_22,2023– ,7.9,(12),TV Series,"Family drama unfolds as a reclusive resort owner invites his estranged children to his third and final wedding, but the locals believe his bride-to-be is a long-dead woman.","https://m.media-amazon.com/images/M/MV5BZDExMDlmMTQtMDNlNy00ZmYyLWEzOGQtM2QzODYyNDI2Y2YwXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_QL75_UY207_CR67,0,140,207_.jpg","['Drama', 'Romance', 'Back to top']","['Fawad Khan', 'Mahira Khan', 'Atiqa Odho', 'Navin Waqar', 'Noor Hassan', 'Sara Kashif', 'Behroze Sabzwari', 'Hina Khawaja Bayat', 'Saba Faisal', 'Qaiser Naqvi']"
23. Humsafar,/title/tt2403201/?ref_=sr_i_23,2011–2012,8.9,(4.5K),TV Series,"Khirad and Ashar are a couple who are pressured into marriage due to the untimely death of Khirad's mother. However, Sara, Ashar's best friend, is heartbroken because she is in love with him.","https://m.media-amazon.com/images/M/MV5BNzA0MjA5NWMtOTg2MS00Yzc4LWI4ZjQtMTg5MzA4M2U2M2IyXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_QL75_UY207_CR1,0,140,207_.jpg","['Drama', 'Back to top']","['Muhammad Hassaan', 'Hania Aamir', 'Sania Saeed', 'Samiya Mumtaz', 'Atif Aslam', 'Nouman Ijaz', 'Kubra Khan', 'Hania Amar']"
24. Sang-e-Mah,/title/tt16978710/?ref_=sr_i_24,2022– ,9.0,(737),TV Series,Stone Hearted and Cruel.,"https://m.media-amazon.com/images/M/MV5BNjVmZDM3NWMtNTc3ZC00NDM4LWFhOGItY2UxYTljMDc4ZDEyXkEyXkFqcGdeQXVyODg1MTc3MTM@._V1_QL75_UY207_CR13,0,140,207_.jpg","['Comedy', 'Drama', 'Romance', 'Back to top']","['Farhan Saeed', 'Iqra Aziz', 'Farhan Ali Agha', 'Adnan Shah', 'Samina Ahmed', 'Nabeel Zuberi', 'Nadia Afghan', 'Mashal Khan', 'Sohail Sameer', 'Mizna Waqas', 'Syed Muhammad Ahmed', 'Sami', 'Farah Shah', 'Tara Mahmood']"
25. Suno Chanda,/title/tt8483182/?ref_=sr_i_25,2018– ,8.8,(2.9K),TV Series,The series revolves around two people who hate each other but their families want them to marry. They make some plans to cancel their wedding but slowly get in love.,"https://m.media-amazon.com/images/M/MV5BOTJmZWJhMzYtYWEzOC00NDQwLThkMzQtZjBlMDFhYWNlNThlXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX140_CR0,1,140,207_.jpg","['Crime', 'Drama', 'Romance', 'Back to top']","['Aliee Shaikh', 'Hamza Ali Abbasi', 'Ayeza Khan', 'Sana Javed', 'Sohai Ali Abro', 'Saba Wasim Abbas']"
26. Pyarey Afzal,/title/tt4062640/?ref_=sr_i_26,2013–2014,9.0,(2.6K),TV Series,Young man confronts his forbidden love and situation changes dramatically as things starts to unfold.,"https://m.media-amazon.com/images/M/MV5BZTc0OGYwZjQtN2E2Yy00NjEzLWE4NzYtYzAwMzgxYjJlM2ZiXkEyXkFqcGdeQXVyNjI1OTAxMDA@._V1_QL75_UY207_CR1,0,140,207_.jpg","['Action', 'Crime', 'Drama', 'Back to top']","['Shaan Shahid', 'Hamza Ali Abbasi', 'Shamoon Abbasi', 'Ayesha Khan', 'Meesha Shafi', 'Ali Azmat', 'Bilal Lashari', 'Kamran Lashari', 'Batin Farooqi', 'Uzma Khan']"
27. To Strike,/title/tt1821700/?ref_=sr_i_27,2013,7.5,(30K),,The efforts of the Pakistani security forces in their fight against terrorism and how the lives of security officials are affected. A retired security officer returns to save Pakistan from a major terrorist attack.,"https://m.media-amazon.com/images/M/MV5BMjI2NjM2MjYzMV5BMl5BanBnXkFtZTgwMjc0NTE1MDE@._V1_QL75_UX140_CR0,0,140,207_.jpg","['Comedy', 'Drama', 'Back to top']","['Sajal Ali', 'Wahaj Ali', 'Nazish Jahangir', 'Sania Saeed', 'Hamza Firdous', 'Rehan Sheikh']"
28. The Pink Shirt,/title/tt29304734/?ref_=sr_i_28,2023– ,8.5,(14),TV Series,"Sophia must decide between a new and a compatible partner and a mother-in-law making consistent efforts at reconciliation. The intense yet humorous nature of relationships, complexities, and redefining bonds in the most unprecedented way.","https://m.media-amazon.com/images/M/MV5BZmUzOTdiNTYtNzVlNy00MDg2LWFlOGYtYzgwNGFmZGI3NDg1XkEyXkFqcGdeQXVyNjQ2MjQ4MzQ@._V1_QL75_UY207_CR13,0,140,207_.jpg","['Drama', 'Back to top']","['Fahad Ahmad', 'Sehar Khan', 'Agha Ali', 'Sidra Niazi', 'Azfar Rehman']"
29. Zakham,/title/tt20916366/?ref_=sr_i_29,2022– ,7.7,(21),TV Series,"Love, respect and trust are the basis of any relationship. Zakham is an intriguing story of multiple relationships that go through a lot of ups and downs. Since the demise of her mother, Areej has been living with her father, stepmother and stepsister. Despite witnessing the sorrow of her mother early in her life, Areej is a young, beautiful and self-reliant girl who aims to become independent. Things take a terrible turn when uncertain circumstances lead Areej to come face to face with Sikandar. Sikandar's arrogant, insensitive and self-centred demeanour brings forward multiple trials and tribulations for Areej. Will Areej be able to take a stand for herself or will she continue to suffer under Sikandar's atrocities? Despite dreaming about her bright future, will Areej let go of her dreams so easily?","https://m.media-amazon.com/images/M/MV5BZmQxNmI3MTAtMWJhNC00YTkyLWIzYjctYzljYWViODhiMWExXkEyXkFqcGdeQXVyMTI0NzY1MTg5._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Shaan Shahid', 'Fawad Khan', 'Iman Ali', 'Austin Marie Sayre', 'Larry Newman', 'Rasheed Naz', 'Naeem Tahir', 'Seemi Raheel', 'Humayun Kazmi', 'Angela Williams', 'Alex Edwards', 'Hameed Sheikh', 'Rufus Graham', 'Najeeb Ullah Anjum', 'Ayub Khoso', 'Naseeruddin Shah', 'Samir Aftab', 'Uzair Altaf']"
30. In the Name of God,/title/tt1068956/?ref_=sr_i_30,2007,8.3,(9.6K),,A drama about three stories centered on the effects of extremism and 9/11 on Pakistanis.,"https://m.media-amazon.com/images/M/MV5BMDA2OTcxOGEtZjQ5Mi00ZjU1LWI1ZWQtOGZhYjQxYmFjNGMwXkEyXkFqcGdeQXVyNTM3MzQ3NzE@._V1_QL75_UY207_CR1,0,140,207_.jpg","['Documentary', 'Short', 'Action', 'Back to top']",[]
